The Iliad,Epic,Homer,8BCE,,,,,https://www.gutenberg.org/cache/epub/6130/pg6130-images.html
The Odyssey,Epic,Homer,8BCE,,,,,https://www.gutenberg.org/cache/epub/1727/pg1727-images.html
Theogony,Poetry,Hesiod,7BCE,,,,,
Works and Days,Poetry,Hesiod,7BCE,,,,,
Agamemnon,Drama,Aeschylus,458BCE,,,,,https://www.gutenberg.org/cache/epub/14417/pg14417-images.html
The Libarion Bearers,Drama,Aeschylus,458BCE,,,,,
The Eumenides,Drama,Aeschylus,458BCE,,,,,
Oedipus Rex,Drama,Sophocles,429BCE,,,,,
Oedipus at Colonus,Drama,Sophocles,429BCE,,,,,https://www.gutenberg.org/cache/epub/31/pg31-images.html
Antigone,Drama,Sophocles,429BCE,,,,,https://www.gutenberg.org/cache/epub/31/pg31-images.html
Metamorphoses,Epic,Ovid,8CE,,,,,https://www.gutenberg.org/cache/epub/21765/pg21765-images.html
The Argonautica,Epic,Apollonius of Rhodes,3BCE,,,,,https://www.gutenberg.org/cache/epub/830/pg830-images.html
Prometheus Bound,Drama,Aeschylus,430BCE,,,,,https://www.gutenberg.org/cache/epub/8714/pg8714-images.html
The Aeneid,Epic,Virgin,19BCE,,,,,
Prometheus Bound,Drama,Percy Bysshe Shelley,1820AD,,,,,https://www.gutenberg.org/cache/epub/8714/pg8714-images.html
Electra,Drama, Sophocles and Euripides,5BCE,,,,,https://www.gutenberg.org/cache/epub/14484/pg14484-images.html
The Bacchae,Drama,Euripides,405BCE,,,,,https://www.gutenberg.org/cache/epub/35173/pg35173-images.html
The Homeric Hymns,Poetry,Homer,5BCE,,,,,https://www.gutenberg.org/cache/epub/348/pg348-images.html
Prometheus: The Fire-Bringer,Drama,Aeschylus,,,,,,
The Bibliotheca,Book,Apollodorus,2AD,,,,,
Hecuba,Drama,Euripides,424BCE,,,,,
The Trojan Women,Drama,Euripides,415BCE,,,,,https://www.gutenberg.org/cache/epub/35171/pg35171-images.html
The Georgics,Book,Virgil,32BCE,,,,,https://www.gutenberg.org/cache/epub/232/pg232-images.html
The Orphic Hymns,Book,,3AD,,,,,
The Histories of Herodotus,Book,Herodotus,425BCE,,,,,https://www.gutenberg.org/cache/epub/2707/pg2707-images.html
Kallisto,Drama,Aeschylus,4BCE,,,,,
The Labors of Heracles,Myth,,,"Heracles,Nemean Lion,Hydra,Cerberus","Nemea,Lerna,The Underworld",The Bibliotheca,,
The Tale of Jason and the Argonauts,Myth,,,"Jason,Medea,Argonauts","Iolcos,Colchis",The Argonautica,,
Perseus Slaying Medusa,Myth,,,"Perseus,Medusa,Andromeda",Seriphos,"Metamorphoses,The Bibliotheca",,
Oedipus Rex,Myth,,,"Oedipus,Jocasta,Creon,Sphinx",Thebes,Oedipus Rex,,
The Trojan War,Myth,,,"Achilles,Hector,Agamemnon,Priam,Helen,Paris,Odysseus,Ajax",Troy,"The Iliad,The Odyssey,The Aeneid,The Trojan Women,Hecuba",,
The Journey of Odysseus,Myth,,,"Odysseus,Penelope,Telemachus,Circe,Calypso,Polyphemus","Troy,Mediterranean Sea",The Odyssey,,
The Tale of Orpheus and Eurydice,Myth,,,"Orpheus,Eurydice,Hades,Persephone",The Underworld,"Metamorphoses,Georgics,The Orphic Hymns",,
The Adventures of Theseus,Myth,,,"Theseus,Minotaur,Ariandne,King Aegeus,Medea,Hippolyta","Thrace,The Underworld","Metamorphoses,The Georgics,The Orphic Hymns",,
The Story of Atalanta and the Golden Apples,Myth,,,"Atalanta,Hippomenes,Aphrodite","Arcadia,Boeotia",Metamorphoses,,
The Quest of the Golden Fleece,Myth,,,"Jason,Medea,Argonauts","Iolcos,Colchis",The Argonautica,,
Aegis,Myth,,,"Zeus,Athena,Aix",,The Iliad,,
Pandora's Box,Myth,,,"Pandora,Zeus,Prometheus",,Works and Days,,
Eros and Psyche,Myth,,,"Eros,Psyche,Aphrodite,Zephyrus",,,,
The Myth of Orion,Myth,,,"Orion,Artemis,Oenopion",Chios,The Odyssey,,
Echo and Narcisus,Myth,,,"Echo,Narcissus,Aphrodite",,,,
The Abduction of Persephone,Myth,,,"Persephone,Hades,Demeter",The Underworld,The Homeric Hymns,,
Prometheus Stealing Fire,Myth,,,"Prometheus,Zeus,Heracles",Mount Elbrus,"Theogony,Works and Days",,
The Fall of Icarus,Myth,,,"Deadalus,Icarus,Minos,Pasiphae",Crete,Metamorphoses,,
King Midas and the Golden Touch,Myth,,,"Midas,Dionysus",Phrygia,,,
Zeus and Europa,Myth,,,"Zeus,Europa,Cadmus,Oracle of Delphi",Crete,Metamorphoses,,
Leto and Zeus,Myth,,,"Leto,Zeus,Hera",Delos,,,
Io and Zeus,Myth,,,"Io,Zeus,Hera",Argos,,,
Zeus and Callisto,Myth,,,"Zeus,Callisto,Artemis",,Kallisto,,
Adonis and Aphrodite,Myth,,,"Adonis,Aphrodite,Persephone",Cyprus,,,
Phaethon and the Sun Chariot,Myth,,,"Phaethon,Helios,Zeus",,Metamorphoses,,
Apollo and Daphne,Myth,,,"Apollo,Daphne",The River Peneus,,,
Alcyone and Ceyx,Myth,,,"Alcyone,Ceyx",Thessaly,,,
